titleId	ordering	title	region	language	types	attributes	isOriginalTitle
tt0007339	2	Ravengar	PT	\N	\N	\N	0
tt0007346	1	Conquista Silenciosa	PT	\N	imdbDisplay	\N	0
tt0007401	1	Um Caso Estranho	PT	\N	imdbDisplay	\N	0
tt0007418	2	A Conquista de Susana	PT	\N	imdbDisplay	\N	0
tt0007421	1	Catarina	PT	\N	imdbDisplay	\N	0
tt0007459	4	O Tigre real	PT	\N	\N	\N	0
tt0007476	14	Charlot é Sempre Charlot	PT	\N	imdbDisplay	\N	0
tt0007491	2	Ultus	PT	\N	\N	\N	0
tt0007518	4	Cristóvão Colombo	PT	\N	imdbDisplay	\N	0
tt0007575	2	Angústia Mortal	PT	\N	imdbDisplay	\N	0
tt0007586	1	Alma de Mulher	PT	\N	imdbDisplay	\N	0
tt0007598	3	O Perigo Amarelo	PT	\N	\N	\N	0
tt0007600	3	O Peão Amarelo	PT	\N	imdbDisplay	\N	0
tt0007613	1	O Evadido	PT	\N	imdbDisplay	\N	0
tt0007618	2	A Filha do Indígena	PT	\N	imdbDisplay	\N	0
tt0007640	5	O Drama do Albergue Will Braham	PT	\N	imdbDisplay	\N	0
tt0007671	4	O Meu Bebé	PT	\N	imdbDisplay	\N	0
tt0007770	1	Campeonato de Patinagem	PT	\N	\N	\N	0
tt0007771	1	Campeonato de Ténis nas Laranjeiras	PT	\N	\N	\N	0
tt0007794	1	Um Chá nas Nuvens	PT	\N	\N	\N	0
tt0007795	2	Grinalda de Amor	PT	\N	imdbDisplay	\N	0
tt0007810	3	Luta Pela Vida	PT	\N	imdbDisplay	\N	0
tt0007822	1	Corrida Automobilística ao Norte de Portugal	PT	\N	\N	\N	0
tt0007832	1	Charlot nas Termas	PT	\N	imdbDisplay	\N	0
tt0007838	1	Nobreza Moscovita	PT	\N	imdbDisplay	\N	0
tt0007854	2	Infernal Obsessão	PT	\N	imdbDisplay	\N	0
tt0007878	6	O Caminho Difícil	PT	\N	imdbDisplay	\N	0
tt0007880	34	Charlot na Rua da Paz	PT	\N	imdbDisplay	\N	0
tt0007897	3	Escalada do Zimbório da Estrela	PT	\N	\N	\N	0
tt0007900	5	A Queda da Mulher	PT	\N	imdbDisplay	\N	0
tt0007901	1	A Eterna Tentadora	PT	\N	imdbDisplay	\N	0
tt0007932	4	O Anel Fatal	PT	\N	imdbDisplay	\N	0
tt0007944	3	Triunfo da Mulher	PT	\N	imdbDisplay	\N	0
tt0007945	1	Carpanta	PT	\N	imdbDisplay	\N	0
tt0007982	3	Força e Nobreza	PT	\N	\N	\N	0
tt0008002	3	Prisioneira do Amor	PT	\N	imdbDisplay	\N	0
tt0008028	2	Fantasma Gris	PT	\N	\N	\N	0
tt0008031	6	O Grande Segredo	PT	\N	\N	\N	0
tt0008065	2	Virtude e Vício	PT	\N	imdbDisplay	\N	0
tt0008116	1	Lua de Mel	PT	\N	imdbDisplay	\N	0
tt0008133	25	O Emigrante	PT	\N	imdbDisplay	\N	0
tt0008150	8	Joana d'Arc	PT	\N	imdbDisplay	\N	0
tt0008188	7	A Pequena Americana	PT	\N	\N	\N	0
tt0008202	3	Um Cobarde	PT	\N	imdbDisplay	\N	0
tt0008235	2	As Últimas Aventuras de Maciste	PT	\N	\N	\N	0
tt0008252	6	O Castelo da má Sombra	PT	\N	\N	\N	0
tt0008266	1	Quebrada da Morte	PT	\N	imdbDisplay	\N	0
tt0008271	3	O Pai Adoptivo	PT	\N	imdbDisplay	\N	0
tt0008280	3	Maternidade	PT	\N	\N	\N	0
tt0008281	7	Max Linder na América	PT	\N	imdbDisplay	\N	0
tt0008289	1	Costureiras	PT	\N	imdbDisplay	\N	0
tt0008305	2	Os Miseráveis	PT	\N	imdbDisplay	\N	0
tt0008306	1	Misericórdia	PT	\N	imdbDisplay	\N	0
tt0008351	1	A Pitonisa	PT	\N	imdbDisplay	\N	0
tt0008351	7	A Vidente	PT	\N	alternative	\N	0
tt0008353	1	O Navio Fantasma	PT	\N	imdbDisplay	\N	0
tt0008355	4	A Menina do Sinal	PT	\N	alternative	\N	0
tt0008355	6	O Mistério da Cruz Dupla	PT	\N	imdbDisplay	\N	0
tt0008365	7	Quase Casados	PT	\N	imdbDisplay	\N	0
tt0008371	4	A Nova Missão de Judex	PT	\N	imdbDisplay	\N	0
tt0008417	5	Dívida de Sangue	PT	\N	imdbDisplay	\N	0
tt0008443	8	A Rapariguinha Pobre	PT	\N	imdbDisplay	\N	0
tt0008447	1	Pratas Conquistador	PT	\N	\N	\N	0
tt0008476	4	Máscara Vermelha	PT	\N	imdbDisplay	\N	0
tt0008502	5	O Ás de Oiros	PT	\N	imdbDisplay	\N	0
tt0008526	2	Pobre Cigana!	PT	\N	imdbDisplay	\N	0
tt0008542	2	O Véu Vermelho	PT	\N	imdbDisplay	\N	0
tt0008559	3	As Convenções da Sociedade	PT	\N	imdbDisplay	\N	0
tt0008569	1	A Enfermeira	PT	\N	imdbDisplay	\N	0
tt0008579	2	As Filhas do Mar	PT	\N	imdbDisplay	\N	0
tt0008603	2	Vingando o Pai	PT	\N	imdbDisplay	\N	0
tt0008616	2	A Pérola Misteriosa	PT	\N	imdbDisplay	\N	0
tt0008629	2	Felicidade Roubada	PT	\N	imdbDisplay	\N	0
tt0008633	3	Flor da Tempestade	PT	\N	imdbDisplay	\N	0
tt0008663	2	O Lobo do Mar	PT	\N	imdbDisplay	\N	0
tt0008666	6	Thais	PT	\N	imdbDisplay	\N	0
tt0008700	1	Tropas Portuguesas no Front	PT	\N	\N	\N	0
tt0008710	6	A Menina Isaura	PT	\N	imdbDisplay	\N	0
tt0008714	1	Abnegação	PT	\N	imdbDisplay	\N	0
tt0008717	5	Chama Eterna	PT	\N	\N	\N	0
tt0008730	3	Panther	PT	\N	imdbDisplay	\N	0
tt0008767	5	Quem Será o nº 1?	PT	\N	imdbDisplay	\N	0
tt0008781	4	Dentro da Lei	PT	\N	imdbDisplay	\N	0
tt0008800	5	Rumo à Felicidade	PT	\N	imdbDisplay	\N	0
tt0008803	2	Zona da Morte	PT	\N	imdbDisplay	\N	0
tt0008827	4	Branquinha a Lavadeira	PT	\N	imdbDisplay	\N	0
tt0008854	11	Os Olhos da Múmia	PT	\N	\N	\N	0
tt0008879	20	Os Proscritos	PT	\N	imdbDisplay	\N	0
tt0008910	3	A Legião da Fronteira	PT	\N	imdbDisplay	\N	0
tt0008919	7	A Bala de Bronze	PT	\N	imdbDisplay	\N	0
tt0008943	5	A Rainha do Cabaret	PT	\N	imdbDisplay	\N	0
tt0008977	1	O Reposteiro Verde	PT	\N	imdbDisplay	\N	0
tt0008978	5	O Enigma do Silêncio	PT	\N	imdbDisplay	\N	0
tt0008990	1	Com o Fogo Não se Brinca	PT	\N	imdbDisplay	\N	0
tt0008993	3	Devagar que é Perigoso	PT	\N	imdbDisplay	\N	0
tt0009014	7	A Décima Sinfonia	PT	\N	imdbDisplay	\N	0
tt0009017	6	Os Milhões Inúteis	PT	\N	imdbDisplay	\N	0
tt0009018	17	Vida de Cão	PT	\N	imdbDisplay	\N	0
tt0009049	1	O Mestre Invisível	PT	\N	imdbDisplay	\N	0
tt0009063	3	Luta pelos Milhões	PT	\N	imdbDisplay	\N	0
tt0009079	2	O Idealista	PT	\N	imdbDisplay	\N	0
tt0009089	1	Frei Bonifácio	PT	\N	\N	\N	0
tt0009093	1	Funchal	PT	\N	\N	\N	0
tt0009145	5	Sobre as Ruínas do Mundo	PT	\N	imdbDisplay	\N	0
tt0009150	9	Aos Corações do Mundo	PT	\N	\N	\N	0
tt0009152	1	Herdeira Fingida	PT	\N	imdbDisplay	\N	0
